Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-07-25,633.5,640.25,630.0,633.15,634.95,7813.0,95.0,4960876.0,7527.0,96.34,10.25,-0.35
2016-07-22,636.65,636.65,621.6,625.05,629.94,645.0,74.0,406313.0,444.0,68.84,15.05,-11.6
2016-07-21,645.9,645.9,633.05,634.95,637.85,1026.0,158.0,654433.0,534.0,52.05,12.85,-10.95
2016-07-20,639.0,647.6,631.5,639.9,639.37,1488.0,215.0,951383.0,496.0,33.33,16.1,0.9
2016-07-19,634.5,636.9,631.35,632.85,633.6,446.0,66.0,282587.0,248.0,55.61,5.55,-1.65
2016-07-18,645.0,645.0,628.0,635.25,637.82,786.0,82.0,501330.0,534.0,67.94,17.0,-9.75
2016-07-15,648.5,648.5,631.5,637.35,641.76,935.0,127.0,600046.0,530.0,56.68,17.0,-11.15
2016-07-14,650.5,653.0,642.2,651.1,648.81,2240.0,196.0,1453343.0,1513.0,67.54,10.8,0.6
2016-07-13,645.3,651.0,638.2,647.0,644.68,1164.0,122.0,750402.0,852.0,73.2,12.8,1.7
2016-07-12,644.8,645.6,610.0,639.75,629.23,2631.0,166.0,1655504.0,1909.0,72.56,35.6,-5.05
2016-07-11,630.0,641.5,630.0,639.6,637.27,4423.0,210.0,2818626.0,3927.0,88.79,11.5,9.6
2016-07-08,630.6,640.0,625.0,626.45,629.06,1167.0,126.0,734109.0,647.0,55.44,15.0,-4.15
2016-07-07,625.0,639.3,620.05,636.95,630.59,1444.0,98.0,910576.0,896.0,62.05,19.25,11.95
2016-07-05,626.0,633.0,621.1,625.25,626.27,917.0,71.0,574286.0,648.0,70.67,11.9,-0.75
2016-07-04,620.0,622.55,611.5,617.7,618.47,1000.0,140.0,618465.0,639.0,63.9,11.05,-2.3
2016-07-01,632.9,632.9,616.55,621.6,622.96,2709.0,307.0,1687592.0,1739.0,64.19,16.35,-11.3
2016-06-30,622.0,634.45,617.1,621.1,626.63,1457.0,118.0,913004.0,954.0,65.48,17.35,-0.9
2016-06-29,612.55,625.0,607.45,621.9,614.89,693.0,72.0,426117.0,190.0,27.42,17.55,9.35
2016-06-28,607.95,612.9,600.95,610.0,609.78,341.0,21.0,207936.0,308.0,90.32,11.95,2.05
2016-06-27,600.6,614.95,600.6,610.0,609.56,3599.0,90.0,2193817.0,3212.0,89.25,14.35,9.4
2016-06-24,590.0,607.5,582.0,598.45,595.7,1474.0,134.0,878064.0,864.0,58.62,25.5,8.45
2016-06-23,617.0,617.0,606.0,608.0,610.72,1218.0,120.0,743861.0,747.0,61.33,11.0,-9.0
2016-06-22,615.0,622.0,615.0,620.55,620.75,3820.0,550.0,2371257.0,3241.0,84.84,7.0,5.55
2016-06-21,618.7,618.7,610.5,610.8,612.76,862.0,52.0,528196.0,687.0,79.7,8.2,-7.9
2016-06-20,612.0,616.7,608.0,614.05,612.02,945.0,118.0,578363.0,689.0,72.91,8.7,2.05
2016-06-17,625.0,627.75,613.35,615.5,622.06,878.0,69.0,546165.0,447.0,50.91,14.4,-9.5
2016-06-16,623.05,629.6,615.0,620.0,623.47,1299.0,113.0,809894.0,543.0,41.8,14.6,-3.05
2016-06-15,616.1,627.85,616.0,622.5,619.73,955.0,63.0,591844.0,631.0,66.07,11.85,6.4
2016-06-14,614.5,622.0,612.1,618.6,619.4,924.0,67.0,572324.0,555.0,60.06,9.9,4.1
2016-06-13,620.1,622.65,606.4,617.25,616.85,1228.0,129.0,757497.0,801.0,65.23,16.25,-2.85
2016-06-10,621.0,624.95,616.35,618.2,619.85,978.0,129.0,606215.0,521.0,53.27,8.6,-2.8
2016-06-09,637.25,637.25,615.5,617.8,621.83,442.0,46.0,274851.0,243.0,54.98,21.75,-19.45
2016-06-08,639.9,642.0,619.25,624.65,630.35,1294.0,139.0,815679.0,786.0,60.74,22.75,-15.25
2016-06-07,630.0,639.9,610.6,628.05,633.08,2915.0,246.0,1845435.0,1718.0,58.94,29.3,-1.95
2016-06-06,620.0,630.85,616.2,626.85,622.48,5469.0,349.0,3404321.0,3739.0,68.37,14.65,6.85
2016-06-03,612.5,620.0,611.0,619.25,618.28,2569.0,122.0,1588356.0,2234.0,86.96,9.0,6.75
2016-06-02,610.0,613.65,609.0,610.25,610.52,501.0,84.0,305870.0,268.0,53.49,4.65,0.25
2016-06-01,612.0,615.85,609.05,611.8,612.02,349.0,49.0,213595.0,291.0,83.38,6.8,-0.2
2016-05-31,624.0,624.0,580.5,612.25,612.96,1419.0,110.0,869788.0,795.0,56.03,43.5,-11.75
2016-05-30,620.0,620.0,609.95,611.85,612.03,513.0,86.0,313971.0,287.0,55.95,10.05,-8.15
2016-05-27,617.95,619.95,611.0,611.75,613.52,187.0,32.0,114728.0,120.0,64.17,8.95,-6.2
2016-05-26,615.3,620.0,606.0,618.5,617.34,2091.0,152.0,1290862.0,1676.0,80.15,14.0,3.2
2016-05-25,619.5,620.0,608.1,612.85,616.53,500.0,70.0,308266.0,287.0,57.4,11.9,-6.65
2016-05-24,615.0,627.1,610.05,618.65,616.92,1119.0,165.0,690329.0,833.0,74.44,17.05,3.65
2016-05-23,620.0,620.0,604.6,609.45,608.88,952.0,75.0,579656.0,694.0,72.9,15.4,-10.55
2016-05-20,611.0,614.4,604.1,607.0,607.32,214.0,33.0,129967.0,110.0,51.4,10.3,-4.0
2016-05-19,619.0,630.9,605.35,609.4,613.12,2022.0,123.0,1239729.0,1363.0,67.41,25.55,-9.6
2016-05-18,617.0,619.35,606.7,609.9,612.32,335.0,45.0,205128.0,213.0,63.58,12.65,-7.1
2016-05-17,615.75,622.95,612.0,618.3,616.68,3411.0,208.0,2103502.0,2169.0,63.59,10.95,2.55
2016-05-16,607.0,616.0,607.0,611.4,612.7,3522.0,143.0,2157939.0,2555.0,72.54,9.0,4.4
2016-05-13,607.5,618.75,595.1,603.35,605.35,509.0,116.0,308122.0,310.0,60.9,23.65,-4.15
2016-05-12,620.0,622.8,597.5,616.85,613.21,2179.0,78.0,1336185.0,1801.0,82.65,25.3,-3.15
2016-05-11,605.0,618.5,605.0,616.6,614.2,1234.0,79.0,757917.0,501.0,40.6,13.5,11.6
2016-05-10,600.0,622.0,580.4,612.5,602.34,10780.0,685.0,6493267.0,3911.0,36.28,41.6,12.5
2016-05-09,620.0,624.95,607.0,610.4,612.03,5198.0,186.0,3181320.0,4372.0,84.11,17.95,-9.6
2016-05-06,610.05,622.0,609.0,613.0,615.17,1857.0,225.0,1142378.0,1041.0,56.06,13.0,2.95
2016-05-05,634.0,634.0,605.15,612.8,617.78,4175.0,435.0,2579221.0,2245.0,53.77,28.85,-21.2
2016-05-04,610.0,622.0,610.0,612.1,613.51,878.0,44.0,538662.0,755.0,85.99,12.0,2.1
2016-05-03,630.0,630.0,612.25,615.95,624.08,609.0,35.0,380066.0,527.0,86.54,17.75,-14.05
2016-05-02,630.0,630.0,620.0,627.6,625.45,536.0,66.0,335240.0,249.0,46.46,10.0,-2.4
2016-04-29,628.15,634.95,622.1,630.55,628.5,615.0,69.0,386525.0,315.0,51.22,12.85,2.4
2016-04-28,629.2,638.0,620.0,620.35,626.44,502.0,77.0,314475.0,258.0,51.39,18.0,-8.85
2016-04-27,630.0,643.6,630.0,635.95,636.59,1301.0,99.0,828202.0,910.0,69.95,13.6,5.95
2016-04-26,622.05,629.2,612.05,627.2,624.87,540.0,58.0,337430.0,328.0,60.74,17.15,5.15
2016-04-25,614.0,640.0,611.0,627.35,621.34,520.0,55.0,323095.0,290.0,55.77,29.0,13.35
2016-04-22,620.25,629.45,613.25,617.4,618.09,682.0,57.0,421534.0,379.0,55.57,16.2,-2.85
2016-04-21,629.0,632.0,617.05,622.7,626.4,773.0,91.0,484211.0,449.0,58.09,14.95,-6.3
2016-04-20,635.0,635.0,610.1,617.55,618.1,371.0,56.0,229316.0,228.0,61.46,24.9,-17.45
2016-04-18,631.0,634.8,625.0,627.65,631.09,811.0,82.0,511813.0,484.0,59.68,9.8,-3.35
2016-04-13,641.5,655.0,629.0,632.35,643.26,1916.0,194.0,1232487.0,1145.0,59.76,26.0,-9.15
2016-04-12,640.0,640.0,625.0,633.95,630.39,496.0,55.0,312672.0,201.0,40.52,15.0,-6.05
2016-04-11,640.2,645.0,631.1,639.35,642.31,1317.0,77.0,845925.0,1000.0,75.93,13.9,-0.85
2016-04-08,639.95,644.0,626.1,641.7,635.49,208.0,38.0,132181.0,123.0,59.13,17.9,1.75
2016-04-07,624.9,639.0,624.0,634.45,633.35,1048.0,112.0,663753.0,601.0,57.35,15.0,9.55
2016-04-06,625.0,634.3,625.0,628.8,628.77,957.0,92.0,601730.0,782.0,81.71,9.3,3.8
2016-04-05,627.0,632.0,621.25,627.8,626.19,628.0,87.0,393246.0,415.0,66.08,10.75,0.8
2016-04-04,615.05,632.85,609.0,630.2,622.14,2868.0,227.0,1784285.0,1140.0,39.75,23.85,15.15
2016-04-01,615.8,615.8,603.0,612.8,609.71,1291.0,80.0,787131.0,792.0,61.35,12.8,-3.0
